0073001f	PR_ORIGINAL_DISPLAY_CC PidTagOriginalDisplayCc
0074001f	PR_ORIGINAL_DISPLAY_TO PidTagOriginalDisplayTo
0075001f	PR_RECEIVED_BY_ADDRTYPE PidTagReceivedByAddressType
0076001f	PR_RECEIVED_BY_EMAIL_ADDRESS PidTagReceivedByEmailAddress
0077001f+A	PR_RCVD_REPRESENTING_ADDRTYPE PidTagReceivedRepresentingAddressType
0078001f	PR_REMOTE_HEADER_LOC
0078001f+A	PR_RCVD_REPRESENTING_EMAIL_ADDRESS PidTagReceivedRepresentingEmailAddress
0079001f	PR_ORIGINAL_AUTHOR_ADDRTYPE PidTagOriginalAuthorAddressType
007a001f	PR_ORIGINAL_AUTHOR_EMAIL_ADDRESS PidTagOriginalAuthorEmailAddress
007b001f	PR_ORIGINALLY_INTENDED_RECIP_ADDRTYPE PidTagOriginallyIntendedRecipAddrtype .OriginallyIntendedRecipientAddressType
007c001f	PR_ORIGINALLY_INTENDED_RECIP_EMAIL_ADDRESS PidTagOriginallyIntendedRecipEmailAddress .OriginallyIntendedRecipientEmailAddress
007d001f+A	PR_TRANSPORT_MESSAGE_HEADERS PidTagTransportMessageHeaders
007e0102	PR_DELEGATION .Delegation
007f0102	PR_TNEF_CORRELATION_KEY PidTagTnefCorrelationKey
0080001f	PR_REPORT_DISPOSITION PidTagReportDisposition
0081001f	PR_REPORT_DISPOSITION_MODE PidTagReportDispositionMode
0082001f	PR_REPORT_ORIGINAL_SENDER PidTagReportOriginalSender
0083001f	.ReportDispositionToNames
0083101f	PR_REPORT_DISPOSITION_TO_NAMES PidTagReportDispositionToNames
0084001f	.ReportDispositionToEmailAddress
0084101f	PR_REPORT_DISPOSITION_TO_EMAIL_ADDRESSES PidTagReportDispositionToEmailAddresses
0085001f	PR_REPORT_DISPOSITION_OPTIONS PidTagReportDispositionOptions
00860002	.RichContent
0100000b	PR_STATBAR_ON
0100101f	.AdministratorEMail
0101000b	PR_TOOLBAR_ON
0103000b	PR_AB_TOOLBAR_ON
01040003	PR_AB_X
01050003	PR_AB_Y
01060003	PR_NCMDSHOW
01070003	PR_AB_CXWIDTH
01080003	PR_AB_CYHEIGHT
01400003	PR_GEN_IMPORTANCE
0141000b	PR_GEN_READ_RECEIPT
0142000b	PR_GEN_SAVE_SENT_MAIL
014b000b	PR_GEN_SHOW_BCC_WELL
014c000b	PR_GEN_DELIVERY_RECEIPT
014d000b	PR_GEN_SHOW_FROM_WELL
014e000b	PR_GEN_CHECK_SPELL
014f0003	PR_GEN_SENSITIVITY
01e5000b	PR_IME_STATUS
01f0001e	PR_WORD_FOLLOWING
01f1001e	PR_WORD_LEADING
01f20003	PR_WORD_OPTIONS
01f3000b	PR_WORD_WRITINGMODE
01f40003	PR_IME_EFFECT0
01f50003	PR_IME_EFFECT1
01f60003	PR_IME_EFFECT2
01f70003	PR_IME_EFFECT3
01f80003	PR_IME_CHAR0
01f90003	PR_IME_CHAR1
01fa0003	PR_IME_CHAR2
01fb0003	PR_IME_CHAR3
01fc0003	PR_IME_BACK0
01fd0003	PR_IME_BACK1
01fe0003	PR_IME_BACK2
01ff0003	PR_IME_BACK3
03000102	PR_TB_VIEWER
03010102	PR_TB_SENDNOTE
03020102	PR_TB_RESENDNOTE
03030102	PR_TB_READNOTE
03040102	PR_TB_REPORTNOTE
03050102	PR_TB_FINDER
03060102	PR_TB_SENDPOST
03070102	PR_TB_READPOST
0310000b	PR_GEN_SBCS_HEADER
0310000b	PR_USE_US_HEADERS
03200102	PR_TB_VIEWER_EX
03210102	PR_TB_SENDNOTE_EX
03220102	PR_TB_RESENDNOTE_EX
03230102	PR_TB_READNOTE_EX
0324001f	PR_AUTO_ARCHIVE_FILE_NAME
03240102	PR_TB_REPORTNOTE_EX
03250102	PR_TB_FINDER_EX
03260102	PR_TB_SENDPOST_EX
03270102	PR_TB_READPOST_EX
03500003	PR_TB_VERSION
0353001e	PR_SECURITY_EPF_FILE
03540003	PR_SECURITY_SETTINGS
0354001e	PR_SECURITY_SETTINGS_STRING
03551102	PR_SECURITY_PROFILES
0356001e	PR_SECURITY_MAC_EPK
0356001f	PR_SECURITY_EPK
03800102	PR_VIEWERS_MESSAGE
03850003	PR_DOWNLOAD_ADDRESS_BOOK_FLAGS
03930003	PR_OUTLOOK_MIGRATEPROFILE
0412000b	PR_PROMPT_FOR_AGING
0413000b	PR_GENERATE_NEW_AUTO_ARCHIVE_FILE_NAME
0416000b	PR_SPAM_PERM_DELETE
0418001f	PR_SPAM_TRUSTED_SENDERS PidTagSpamTrustedSenders
0419001f	PR_SPAM_TRUSTED_RECIPIENTS PidTagSpamTrustedRecipients
041a001f	PR_SPAM_JUNK_SENDERS PidTagSpamJunkSenders
041b0003	PR_SPAM_THRESHOLD PidTagSpamThreshold
041c001f	PR_SPAM_TRUSTED_CONTACTS
041d000b	PR_SPAM_ALERT_MESSAGE_MOVED
041e0040	PR_SPAM_CHANGE_KEY
0421000b	PR_SPAM_PENDING_UPDATE
04220040	PR_SPAM_LAST_CONTACT_UPDATE
0423001f	PR_SPAM_PROF_BLOCKED_ENCODINGS
0424001f	PR_SPAM_PROF_BLOCKED_TOP_LEVEL_DOMAINS
0426001f	PR_SPAM_PROF_BLOCKED_DOMAIN_SUFFIXES
04290003	PR_ITEMPROC_RUN
042a000b	PR_SPAM_ENABLE_LINKS
0431000b	PR_SPAM_ENABLE_SPOOFY_EMAILS
0432000b	PR_SPAM_DISABLE_POSTMARKING
0433001f	PR_SHARING_XML_OBI_FILE
0444001f	PR_RSS_XML_CFL_FILE
